Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Lille Flandres,Paris Nord ,TGV INOUI,7044,09-03-2023,15:44:00,15:44:00,0,,"['Lille Flandres', 'Paris Nord']"
St Pancras International,Paris Nord ,Eurostar,9024,09-03-2023,15:53:00,15:53:00,0,,"['St Pancras International', 'Paris Nord']"
Creil,Paris Nord ,TER HDF,847622,09-03-2023,15:58:00,15:53:00,5,Conditions de départ non réunies,"['Creil', 'Chantilly - Gouvieux', 'Orry-la-Ville - Coye', 'Paris Nord']"
Köln - Hauptbahnhof,Paris Nord ,Thalys,9448,09-03-2023,16:05:00,16:05:00,0,,"['Köln - Hauptbahnhof', 'Aachen Hauptbahnhof', 'Liège-Guillemins', 'Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
Amsterdam Centraal,Paris Nord ,Thalys,9352,09-03-2023,16:38:00,16:38:00,0,,"['Amsterdam Centraal', 'Schiphol - Airport', 'Rotterdam Centraal', 'Antwerpen-Centraal', 'Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
Cherbourg,Paris Saint-Lazare ,TER,3310,09-03-2023,16:02:00,16:02:00,0,,"['Cherbourg', 'Valognes', 'Carentan', 'Lison', 'Bayeux', 'Caen', 'Paris Saint-Lazare']"
Caen,Paris Saint-Lazare ,TER,3348,09-03-2023,16:31:00,16:31:00,0,,"['Caen', 'Lisieux', 'Bernay', 'Évreux Embranchement', 'Paris Saint-Lazare']"
Rouen Rive Droite,Paris Saint-Lazare ,TER,13170,09-03-2023,17:48:00,17:48:00,0,,"['Rouen Rive Droite', 'Oissel', 'Val-de-Reuil', 'Gaillon - Aubevoye', 'Vernon - Giverny', 'Paris Saint-Lazare']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6116,09-03-2023,15:25:00,15:25:00,0,,"['Marseille - Saint-Charles', 'Aix-en-Provence TGV', 'Avignon TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Genève - Cornavin - CFF,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9770,09-03-2023,15:48:00,15:48:00,0,,"['Genève - Cornavin - CFF', 'Bellegarde-sur-Valserine Gare', 'Bourg-en-Bresse', 'Paris - Gare de Lyon - Hall 1 & 2']"
Nice,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6074,09-03-2023,16:02:00,16:02:00,0,,"['Nice', 'Antibes', 'Cannes', 'Saint-Raphaël - Valescure', 'Toulon', 'Marseille - Saint-Charles', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lausanne,Paris - Gare de Lyon - Hall 1 & 2 ,TGV Lyria,9268,09-03-2023,16:08:00,16:08:00,0,,"['Lausanne', 'Vallorbe', 'Frasne', 'Dole-Ville', 'Dijon Ville', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6620,09-03-2023,16:12:00,16:12:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Laroche - Migennes,Paris - Gare de Lyon - Hall 1 & 2 ,TER,891018,09-03-2023,16:13:00,16:13:00,0,,"['Laroche - Migennes', 'Joigny', 'Saint-Julien-du-Sault', 'Villeneuve-sur-Yonne', 'Sens', 'Pont-sur-Yonne', 'Champigny-sur-Yonne', 'Villeneuve-la-Guyard', 'Montereau', 'Saint-Mammès', 'Moret - Veneux-les-Sablons', 'Fontainebleau - Avon', 'Bois-le-Roi', 'Melun', 'Paris - Gare de Lyon - Hall 1 & 2']"
Annecy,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6972,09-03-2023,16:17:00,16:17:00,0,,"['Annecy', 'Aix-les-Bains - Le Revard', 'Chambéry - Challes-les-Eaux', 'Mâcon Loché TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6622,09-03-2023,17:02:00,17:02:00,0,,"['Lyon Perrache', 'Lyon Part Dieu', 'Paris - Gare de Lyon - Hall 1 & 2']"
