Jour,Gare (départ),Gare (arrivée),Arrivée (réelle),Arrivée (prévue),Départ (prévu),Retard (min),Cause
09-03-2023,La Bresse - Place du Champtel,Remiremont,08:07:00,08:02:00,06:59:00,5,Embouteillage
09-03-2023,Frasne,Neuchâtel,21:58:00,21:53:00,20:53:00,5,Prise en charge de clients en correspondance
09-03-2023,Lyon Part Dieu,Paris - Gare de Lyon - Hall 1 & 2,13:39:00,13:34:00,11:34:00,5,Travaux sur les voies
09-03-2023,Sain-Bel,Lyon - Saint-Paul,15:51:00,15:46:00,15:04:00,5,Retard non expliqué
10-03-2023,Paris - Montparnasse - Hall 1 & 2,Quimper,12:43:00,12:38:00,08:40:00,5,Panne d'un aiguillage
09-03-2023,Chambéry - Challes-les-Eaux,Saint-André-le-Gaz,19:48:00,19:43:00,18:27:00,5,Embouteillage
09-03-2023,Orléans,Paris Austerlitz,18:47:00,18:37:00,17:34:00,10,Mise à quai tardive en gare origine
09-03-2023,Metz Ville,Verdun,19:02:00,18:42:00,17:10:00,20,Embouteillage
09-03-2023,Hirson,Lille Flandres,10:00:00,09:55:00,08:07:00,5,Réutilisation d'un train
09-03-2023,Amiens,Saint-Quentin,18:12:30,17:42:30,16:46:00,30,Choc nécessitant une vérification technique sur le train
10-03-2023,Épernay,Reims,07:34:00,07:29:00,06:49:00,5,Conditions de départ non réunies
09-03-2023,Maubeuge,Charleroi-Central,21:53:00,21:48:00,20:53:00,5,Retard non expliqué
09-03-2023,Lens,Lille Flandres,06:56:00,06:51:00,06:10:00,5,Défaillance de matériel
09-03-2023,Juvancourt,Bar-sur-Aube,13:37:00,13:32:00,12:58:00,5,Embouteillage
09-03-2023,Grenoble,Gap,11:12:00,11:07:00,08:10:00,5,Difficultés lors de la préparation du train
09-03-2023,Compiègne,Amiens,20:12:00,20:07:00,19:13:00,5,Prise en charge de clients en correspondance
09-03-2023,Paris Nord,Compiègne,17:10:00,16:50:00,15:37:00,20,Réutilisation d'un train
09-03-2023,Charleroi-Central,Maubeuge,11:25:00,11:20:00,10:24:00,5,Retard non expliqué
09-03-2023,Lille Flandres,Dunkerque,23:18:00,21:48:00,20:40:00,90,Acte de vandalisme
09-03-2023,Sarreguemines Lycée Technique,Loupershouse,17:54:00,17:49:00,17:10:00,5,Embouteillage
09-03-2023,Strasbourg,Bâle - SBB,09:13:00,09:08:00,07:51:00,5,Prise en charge de clients en correspondance
09-03-2023,Creil,Beauvais - Gare SNCF,15:09:30,13:49:30,13:10:00,80,Conditions de départ non réunies
09-03-2023,Limoux,Quillan,20:36:00,20:26:00,19:42:00,10,Embouteillage
09-03-2023,Tournai,Lille Flandres,10:47:00,09:52:00,09:22:00,55,Incident sur un réseau ferré étranger
10-03-2023,Strasbourg,Haguenau,07:26:00,07:21:00,06:44:00,5,Difficultés lors de la préparation du train
09-03-2023,Valenciennes,Jeumont,08:44:00,08:39:00,07:51:00,5,Réutilisation d'un train
09-03-2023,Romilly-sur-Seine,Troyes,08:55:00,08:40:00,07:20:00,15,Embouteillage
09-03-2023,Toul,Neufchâteau,18:32:00,18:27:00,17:37:00,5,Embouteillage
09-03-2023,Paris Nord,Clermont de l'Oise,18:59:30,18:54:30,18:07:00,5,Difficultés lors de la préparation du train
09-03-2023,Metzeral,Colmar,09:20:00,09:15:00,08:39:00,5,Réutilisation d'un train
09-03-2023,Lille Flandres,Hazebrouck,13:14:00,13:09:00,12:23:00,5,Réutilisation d'un train
09-03-2023,Paris Nord,Amiens,10:47:00,10:42:00,09:07:00,5,Régulation du trafic
09-03-2023,La Bresse - Place du Champtel,Remiremont,17:55:00,17:50:00,16:47:00,5,Embouteillage
09-03-2023,Nantes,Le Mans,09:20:00,09:15:00,07:39:00,5,Difficultés lors de la préparation du train
09-03-2023,Autun,Étang,16:52:00,16:47:00,16:26:00,5,Embouteillage
09-03-2023,Is-sur-Tille,Les Laumes - Alésia,08:26:00,08:21:00,07:04:00,5,Réutilisation d'un train
09-03-2023,Marseille - Saint-Charles,Marseille Blancarde,17:22:30,17:12:30,17:08:00,10,Réutilisation d'un train
09-03-2023,Amiens,Paris Nord,17:58:00,17:53:00,16:06:00,5,Difficultés lors de la préparation du train
09-03-2023,Creil,Paris Nord,15:58:00,15:53:00,15:20:00,5,Conditions de départ non réunies
10-03-2023,Moûtiers - Salins - Brides-les-Bains,Bourg-Saint-Maurice,09:27:00,09:22:00,08:45:00,5,Embouteillage
09-03-2023,La Bresse - Place du Champtel,Remiremont,16:55:00,16:50:00,15:47:00,5,Embouteillage
09-03-2023,Sarrebourg Hôpital,Fénétrange Gendarmerie,17:52:00,17:47:00,17:05:00,5,Embouteillage
09-03-2023,Metz Ville,Sarrebourg,18:23:00,18:18:00,17:17:00,5,Présence d'individus sur les voies
09-03-2023,Nancy,Metz Ville,20:11:30,19:51:30,18:58:00,20,Réutilisation d'un train
09-03-2023,Pontarlier,Frasne,17:10:00,17:05:00,16:40:00,5,Embouteillage
09-03-2023,Compiègne,Saint-Quentin,20:13:00,20:08:00,19:04:00,5,Réutilisation d'un train
09-03-2023,Lille Flandres,Dunkerque,19:53:00,19:48:00,18:40:00,5,Régulation du trafic
10-03-2023,Charmes,Épinal,07:27:00,07:22:00,06:32:00,5,Embouteillage
09-03-2023,Valenciennes,Lille Flandres,08:26:00,08:21:00,07:35:00,5,Régulation du trafic
09-03-2023,Calais Ville,Dunkerque,07:17:00,06:47:00,06:02:00,30,Réutilisation d'un train
09-03-2023,Saint-Quentin,Paris Nord,09:56:00,09:26:00,07:46:00,30,Conditions de départ non réunies
09-03-2023,Hazebrouck,Lille Flandres,12:22:00,12:07:00,11:21:00,15,Conditions de départ non réunies
09-03-2023,Hazebrouck,Lille Flandres,18:42:00,18:37:00,17:51:00,5,Réutilisation d'un train
09-03-2023,Paray-le-Monial,Moulins-sur-Allier,19:42:00,19:37:00,18:14:00,5,Embouteillage
09-03-2023,Sain-Bel,Lyon-Saint-Paul - La Feuillée,00:20:10,00:15:10,23:15:00,5,Embouteillage
10-03-2023,Ussel,Tulle SNCF,07:29:00,07:24:00,05:51:00,5,Embouteillage
09-03-2023,Charleroi-Central,Maubeuge,07:30:00,07:20:00,06:18:00,10,Incident sur un réseau ferré étranger
10-03-2023,Strasbourg,Sarreguemines,08:03:00,07:53:00,06:34:00,10,Conditions de départ non réunies
09-03-2023,Annecy,Valence Ville,13:47:00,13:42:00,10:43:00,5,Réutilisation d'un train
09-03-2023,Lille Flandres,Dunkerque,19:03:00,18:48:00,17:40:00,15,Affluence de voyageurs entraînant un arrêt prolongé
09-03-2023,Chambéry - Challes-les-Eaux,La Tour-du-Pin,18:03:00,17:58:00,16:32:00,5,Embouteillage
10-03-2023,Saint-Nazaire,Nantes,08:26:00,08:21:00,07:34:00,5,Régulation du trafic
09-03-2023,Courtrai,Lille Flandres,21:56:00,21:51:00,21:13:00,5,Incident sur un réseau ferré étranger
10-03-2023,Lille Flandres,Paris Nord,08:19:00,08:14:00,07:12:00,5,Régulation du trafic
09-03-2023,Lyon Part Dieu,Dijon Ville,18:34:00,18:19:00,16:18:00,15,Affluence de voyageurs entraînant un arrêt prolongé
10-03-2023,Colomiers,Saint-Cyprien - Arènes,09:14:00,09:09:00,08:55:00,5,Présence d'un bagage abandonné
10-03-2023,Troyes,Romilly-sur-Seine,08:38:00,08:28:00,07:08:00,10,Embouteillage
09-03-2023,Toul,Allamps E.S.A.T,08:32:00,08:22:00,07:52:00,10,Embouteillage
09-03-2023,Chambéry - Challes-les-Eaux,Grenoble,10:16:00,09:51:00,08:57:00,25,Défaillance de matériel
09-03-2023,Bellegarde-sur-Valserine Gare,Évian-les-Bains,15:01:00,14:56:00,12:14:00,5,Embouteillage
10-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,10:40:10,10:25:10,08:08:00,15,Embouteillage
09-03-2023,Paris Nord,Saint-Quentin,16:18:00,16:13:00,14:34:00,5,Régulation du trafic
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,12:20:00,12:10:00,09:54:00,10,Conditions de départ non réunies
10-03-2023,Béthune,Saint-Pol-sur-Ternoise,08:12:00,08:07:00,07:00:00,5,Difficultés lors de la préparation du train
10-03-2023,Grenoble,Gap,11:12:00,11:07:00,08:10:00,5,Difficultés lors de la préparation du train
09-03-2023,Lille Flandres,Paris Nord,08:54:00,08:44:00,07:42:00,10,Prise en charge de clients en correspondance
09-03-2023,Niederbronn-les-Bains,Bitche,19:53:00,19:48:00,19:22:00,5,Embouteillage
10-03-2023,Compiègne,Paris Nord,08:48:00,08:23:00,07:18:00,25,Régulation du trafic
09-03-2023,Frasne,Neuchâtel,11:58:00,11:53:00,10:53:00,5,Prise en charge de clients en correspondance
09-03-2023,Paris Austerlitz,Tours,20:01:30,19:41:30,17:38:00,20,Acte de vandalisme
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Grenoble,10:48:00,10:13:00,07:09:00,35,Travaux sur les voies
09-03-2023,Laroche - Migennes,Paris - Gare de Lyon - Hall 1 & 2,14:18:00,14:13:00,12:10:00,5,Difficultés lors de la préparation du train
09-03-2023,Grenoble - gare Routière,Lyon-Part-Dieu - Gare Routière,12:53:00,12:38:00,10:21:00,15,Embouteillage
09-03-2023,Lille Flandres,Lens,08:50:00,08:45:00,07:47:00,5,Régulation du trafic
09-03-2023,Nantes,Saint-Nazaire,08:04:00,07:24:00,06:38:00,40,Conditions de départ non réunies
09-03-2023,Nantes,Paris - Montparnasse - Hall 1 & 2,09:17:30,09:12:30,07:05:00,5,Prise en charge de clients en correspondance
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Nice,17:08:00,15:58:00,09:59:00,70,Travaux sur les voies
09-03-2023,Brou,Chartres,16:33:00,16:28:00,15:49:30,5,Panne de signalisation
09-03-2023,Lille Flandres,Tournai,20:41:00,20:36:00,20:08:00,5,Réutilisation d'un train
09-03-2023,Tournai,Lille Flandres,12:02:00,11:52:00,11:22:00,10,Incident sur un réseau ferré étranger
10-03-2023,Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean,09:20:00,09:15:00,07:08:00,5,Grève SNCF inopinée
09-03-2023,Lyon-Part-Dieu - Gare Routière,Bellegarde-sur-Valserine Gare,12:07:00,11:57:00,10:17:00,10,Embouteillage
10-03-2023,Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2,12:28:00,12:23:00,09:04:00,5,Retard non expliqué
10-03-2023,Toulouse Matabiau,Muret,08:25:00,08:20:00,08:01:00,5,Réutilisation d'un train
09-03-2023,Lille Flandres,Tournai,20:41:00,20:36:00,20:08:00,5,Réutilisation d'un train
09-03-2023,Les Sables-d'Olonne,Nantes,08:34:00,07:54:00,06:20:00,40,Dérangement d'une installation en gare
09-03-2023,Capdenac,Aurillac,09:55:00,09:50:00,08:15:00,5,Embouteillage
09-03-2023,Bayonne,Toulouse Matabiau,14:43:00,14:23:00,09:48:00,20,Embouteillage
